SR,ITEM_CODE,PARENT_ID,DESIGN_CODE,CATEGORY,SUB_CATEGORY,,DIAMOND_TYPE,SHAPE,COLOR,CLARITY,SETTING_TYPE,PIECES,SIZE_MIN,SIZE_MAX,TOTAL_WGT,,METAL_TYPE,METAL_STAMP,APPX_WEIGHT,,NATURAL_PRICE,NATURAL_OFFER_PRICE,LAB_PRICE,LAB_OFFER_PRICE,VARIANT_TAXABLE,,Rings_SIZE,GENDER,IS_ENGRAVING,SHIPMENT_DAYS,MATCHING_ITEMCODE,,IMG1,IMG2,IMG3,IMG4,IMG5,VIDEO,,TITLE,LONG_DESC,SHORT_DESC,COLLECTIONS,OCCASIONS,TAGS,PUBLISHED,SLUG
296,ESWG119,ESWG119,SE_RD_101,Earring,Earring,,Center,Round,,,Solitier,,0.3,3,,,White Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-01.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-02.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-03.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-04.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-V1.mp4,,14 White Gold Beautiful Diamond Earring,,,,,,,
297,ESYG119,ESWG119,SE_RD_101,Earring,Earring,,Center,Round,,,Solitier,,0.3,3,,,Yellow Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-01.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-02.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-03.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-04.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-V1.mp4,,14 Yellow Gold Beautiful Diamond Earring,,,,,,,
298,ESRG120,,SE_RD_102,Earring,Earring,,Center,Round,,,Solitier,,0.4,4,,,Rose Gold,14K,1,,130,,130,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-01.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-02.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-03.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-04.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-V1.mp4,,14 Rose Gold Beautiful Diamond Earring,,,,,,,
299,ESWG120,ESWG120,SE_RD_102,Earring,Earring,,Center,Round,,,Solitier,,0.4,4,,,White Gold,14K,1,,130,,130,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESWG120/ESWG120-01.png,https://bellamy.blob.core.windows.net/bellamy/ESWG120/ESWG120-02.png,https://bellamy.blob.core.windows.net/bellamy/ESWG120/ESWG120-03.png,https://bellamy.blob.core.windows.net/bellamy/ESWG120/ESWG120-04.png,https://bellamy.blob.core.windows.net/bellamy/ESWG120/ESWG120-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESWG120/ESWG120-V1.mp4,,14 White Gold Beautiful Diamond Earring,,,,,,,
300,ESYG120,ESWG120,SE_RD_102,Earring,Earring,,Center,Round,,,Solitier,,0.4,4,,,Yellow Gold,14K,1,,130,,130,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESYG120/ESYG120-01.png,https://bellamy.blob.core.windows.net/bellamy/ESYG120/ESYG120-02.png,https://bellamy.blob.core.windows.net/bellamy/ESYG120/ESYG120-03.png,https://bellamy.blob.core.windows.net/bellamy/ESYG120/ESYG120-04.png,https://bellamy.blob.core.windows.net/bellamy/ESYG120/ESYG120-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESYG120/ESYG120-V1.mp4,,14 Yellow Gold Beautiful Diamond Earring,,,,,,,
301,ESRG121,,SE_RD_104,Earring,Earring,,Center,Round,,,Solitier,,0.4,4,,,Rose Gold,14K,1.94,,194,,194,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESRG121/ESRG121-01.png,https://bellamy.blob.core.windows.net/bellamy/ESRG121/ESRG121-02.png,https://bellamy.blob.core.windows.net/bellamy/ESRG121/ESRG121-03.png,https://bellamy.blob.core.windows.net/bellamy/ESRG121/ESRG121-04.png,https://bellamy.blob.core.windows.net/bellamy/ESRG121/ESRG121-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESRG121/ESRG121-V1.mp4,,14 Rose Gold Beautiful Diamond Earring,,,,,,,
302,ESWG121,ESWG121,SE_RD_104,Earring,Earring,,Center,Round,,,Solitier,,0.4,4,,,White Gold,14K,1.94,,194,,194,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESWG121/ESWG121-01.png,https://bellamy.blob.core.windows.net/bellamy/ESWG121/ESWG121-02.png,https://bellamy.blob.core.windows.net/bellamy/ESWG121/ESWG121-03.png,https://bellamy.blob.core.windows.net/bellamy/ESWG121/ESWG121-04.png,https://bellamy.blob.core.windows.net/bellamy/ESWG121/ESWG121-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESWG121/ESWG121-V1.mp4,,14 White Gold Beautiful Diamond Earring,,,,,,,
303,ESYG121,ESWG121,SE_RD_104,Earring,Earring,,Center,Round,,,Solitier,,0.4,4,,,Yellow Gold,14K,1.94,,194,,194,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESYG121/ESYG121-01.png,https://bellamy.blob.core.windows.net/bellamy/ESYG121/ESYG121-02.png,https://bellamy.blob.core.windows.net/bellamy/ESYG121/ESYG121-03.png,https://bellamy.blob.core.windows.net/bellamy/ESYG121/ESYG121-04.png,https://bellamy.blob.core.windows.net/bellamy/ESYG121/ESYG121-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESYG121/ESYG121-V1.mp4,,14 Yellow Gold Beautiful Diamond Earring,,,,,,,
304,ESRG122,,SE_RD_105,Earring,Earring,,Center,Round,,,Solitier,,0.7,0.7,,,Rose Gold,14K,1.94,,625,,356,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESRG122/ESRG122-01.png,https://bellamy.blob.core.windows.net/bellamy/ESRG122/ESRG122-02.png,https://bellamy.blob.core.windows.net/bellamy/ESRG122/ESRG122-03.png,https://bellamy.blob.core.windows.net/bellamy/ESRG122/ESRG122-04.png,https://bellamy.blob.core.windows.net/bellamy/ESRG122/ESRG122-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESRG122/ESRG122-V1.mp4,,14 Rose Gold Beautiful Diamond Earring,,,,,,,
,,,,,,,side,Round,D-F,VS-VVS,,28,0.02,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,ESWG122,ESWG122,SE_RD_105,Earring,Earring,,Center,Round,,,Halo,,0.7,0.7,,,White Gold,14K,1.94,,625,,356,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESWG122/ESWG122-01.png,https://bellamy.blob.core.windows.net/bellamy/ESWG122/ESWG122-02.png,https://bellamy.blob.core.windows.net/bellamy/ESWG122/ESWG122-03.png,https://bellamy.blob.core.windows.net/bellamy/ESWG122/ESWG122-04.png,https://bellamy.blob.core.windows.net/bellamy/ESWG122/ESWG122-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESWG122/ESWG122-V1.mp4,,14 White Gold Beautiful Diamond Earring,,,,,,,
,,,,,,,side,Round,D-F,VS-VVS,,28,0.02,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,ESYG122,ESWG122,SE_RD_105,Earring,Earring,,Center,Round,,,Halo,,0.7,0.7,,,Yellow Gold,14K,1.94,,625,,356,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESYG122/ESYG122-01.png,https://bellamy.blob.core.windows.net/bellamy/ESYG122/ESYG122-02.png,https://bellamy.blob.core.windows.net/bellamy/ESYG122/ESYG122-03.png,https://bellamy.blob.core.windows.net/bellamy/ESYG122/ESYG122-04.png,https://bellamy.blob.core.windows.net/bellamy/ESYG122/ESYG122-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESYG122/ESYG122-V1.mp4,,14 Yellow Gold Beautiful Diamond Earring,,,,,,,
,,,,,,,side,Round,D-F,VS-VVS,,28,0.02,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
